experiment,enemy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
1,5,98.2,0,98.2,200,0,0,200,44,200,0.5
1,5,98.2,0,98.2,200,0,0,400,88,400,0.25
1,5,98.2,0,98.2,200,0,0,600,132,600,0.17
1,5,98.2,0,98.2,200,0,0,800,176,800,0.12
1,5,98.2,0,98.2,200,0,0,1000,220,1000,0.1
1,5,93.4,0,93.4,182,0,0,143,0,166,0.6
1,5,93.4,0,93.4,182,0,0,286,0,332,0.3
1,5,93.4,0,93.4,182,0,0,429,0,498,0.2
1,5,93.4,0,93.4,182,0,0,572,0,664,0.15
1,5,93.4,0,93.4,182,0,0,715,0,830,0.12
1,5,94.6,0,94.6,161,0,0,161,71,161,0.62
1,5,94.6,0,94.6,161,0,0,322,142,322,0.31
1,5,94.6,0,94.6,161,0,0,483,213,483,0.21
1,5,94.6,0,94.6,161,0,0,644,284,644,0.16
1,5,94.6,0,94.6,161,0,0,805,355,805,0.12
1,5,86.8,0,86.8,147,0,0,30,0,99,1.01
1,5,86.8,0,86.8,147,0,0,60,0,198,0.51
1,5,86.8,0,86.8,147,0,0,90,0,297,0.34
1,5,86.8,0,86.8,147,0,0,120,0,396,0.25
1,5,86.8,0,86.8,147,0,0,150,0,495,0.2
1,5,92.8,0,92.8,183,0,14,183,0,183,0.55
1,5,92.8,0,92.8,183,0,28,366,0,366,0.27
1,5,92.8,0,92.8,183,0,42,549,0,549,0.18
1,5,92.8,0,92.8,183,0,56,732,0,732,0.14
1,5,92.8,0,92.8,183,0,70,915,0,915,0.11
1,5,92.2,0,92.2,155,0,16,126,3,155,0.65
1,5,92.2,0,92.2,155,0,32,252,6,310,0.32
1,5,92.2,0,92.2,155,0,48,378,9,465,0.22
1,5,92.2,0,92.2,155,0,64,504,12,620,0.16
1,5,92.2,0,92.2,155,0,80,630,15,775,0.13
1,5,92.8,0,92.8,198,0,8,198,0,198,0.51
1,5,92.8,0,92.8,198,0,16,396,0,396,0.25
1,5,92.8,0,92.8,198,0,24,594,0,594,0.17
1,5,92.8,0,92.8,198,0,32,792,0,792,0.13
1,5,92.8,0,92.8,198,0,40,990,0,990,0.1
1,5,92.2,0,92.2,198,0,9,177,0,198,0.51
1,5,92.2,0,92.2,198,0,18,354,0,396,0.25
1,5,92.2,0,92.2,198,0,27,531,0,594,0.17
1,5,92.2,0,92.2,198,0,36,708,0,792,0.13
1,5,92.2,0,92.2,198,0,45,885,0,990,0.1
1,5,95.2,0,95.2,198,0,0,198,11,145,0.69
1,5,95.2,0,95.2,198,0,0,396,22,290,0.34
1,5,95.2,0,95.2,198,0,0,594,33,435,0.23
1,5,95.2,0,95.2,198,0,0,792,44,580,0.17
1,5,95.2,0,95.2,198,0,0,990,55,725,0.14
1,5,93.4,0,93.4,159,0,0,93,20,159,0.63
1,5,93.4,0,93.4,159,0,0,186,40,318,0.31
1,5,93.4,0,93.4,159,0,0,279,60,477,0.21
1,5,93.4,0,93.4,159,0,0,372,80,636,0.16
1,5,93.4,0,93.4,159,0,0,465,100,795,0.13
